Index,Time,Time_Diff,Output
472,1.442163,0.003955,-1.567098
473,1.445938,0.003775,-1.695895
474,1.449680,0.003742,-1.748171
475,1.453304,0.003624,-1.752741
476,1.457083,0.003779,-1.761361
477,1.461113,0.004030,-1.880081
478,1.464982,0.003869,-1.805061
479,1.468740,0.003758,-1.536644
480,1.473211,0.004471,-1.568661
481,1.477223,0.004012,-1.727381
482,1.481579,0.004356,-1.736709
483,1.485479,0.003900,-1.706046
484,1.489418,0.003939,-1.690903
485,1.493231,0.003813,-1.766845
486,1.497319,0.004088,-1.848476
487,1.501563,0.004244,-1.849733
488,1.505549,0.003986,-1.822334
489,1.509471,0.003922,-1.772538
490,1.513434,0.003963,-1.746222
491,1.517258,0.003824,-1.637570
492,1.521044,0.003786,-1.622223
493,1.525209,0.004165,-1.480289
494,1.529149,0.003940,-1.481387
495,1.533199,0.004050,-1.464569
496,1.537006,0.003807,-1.468244
497,1.540944,0.003938,-1.632564
498,1.544772,0.003828,-1.675711
499,1.548743,0.003971,-1.705909
500,1.552613,0.003870,-1.654003
501,1.556566,0.003953,-1.650083
502,1.560513,0.003947,-1.591586
503,1.564624,0.004111,-1.570910
504,1.568474,0.003850,-1.647780
505,1.572421,0.003947,-1.758341
506,1.576287,0.003866,-1.757787
507,1.580180,0.003893,-1.802727
508,1.584150,0.003970,-2.032156
509,1.588233,0.004083,-2.121970
510,1.592109,0.003876,-2.119349
511,1.596044,0.003935,-1.670338
512,1.599965,0.003921,-1.488357
513,1.603814,0.003849,-1.311669
514,1.607819,0.004005,-1.139861
515,1.611777,0.003958,-1.233211
516,1.615672,0.003895,-1.315284
517,1.619449,0.003777,-1.605747
518,1.623259,0.003810,-1.674536
519,1.627034,0.003775,-1.720371
520,1.630977,0.003943,-1.644190
521,1.634805,0.003828,-1.601239
522,1.638734,0.003929,-1.629745
523,1.642745,0.004011,-1.515085
524,1.646497,0.003752,-1.497710
525,1.650307,0.003810,-1.510913
526,1.654253,0.003946,-1.536252
527,1.657994,0.003741,-1.578971
528,1.662357,0.004363,-1.625072
529,1.666400,0.004043,-1.678802
530,1.670397,0.003997,-1.739353
531,1.674216,0.003819,-1.724511
532,1.678214,0.003998,-1.752447
533,1.682044,0.003830,-1.741765
534,1.686060,0.004016,-1.754724
535,1.689946,0.003886,-1.744032
536,1.693736,0.003790,-1.788304
537,1.697575,0.003839,-1.793395
538,1.701601,0.004026,-1.788317
539,1.705451,0.003850,-1.792744
540,1.709311,0.003860,-1.795620
541,1.713128,0.003817,-1.795018
542,1.716906,0.003778,-1.800759
543,1.720796,0.003890,-1.827475
544,1.724632,0.003836,-1.832113
545,1.728639,0.004007,-1.837764
546,1.732424,0.003785,-1.864104
547,1.736272,0.003848,-1.873737
548,1.740197,0.003925,-1.863075
549,1.744092,0.003895,-1.863640
550,1.747956,0.003864,-1.848431
551,1.751809,0.003853,-1.846239
552,1.755641,0.003832,-1.813662
553,1.759406,0.003765,-1.815296
554,1.763122,0.003716,-1.811926
555,1.766979,0.003857,-1.831651
556,1.770829,0.003850,-1.816351
557,1.774776,0.003947,-1.781299
558,1.778564,0.003788,-1.764843
559,1.782548,0.003984,-1.768575
560,1.786417,0.003869,-1.794421
561,1.790178,0.003761,-1.788710
562,1.794058,0.003880,-1.806973
563,1.797991,0.003933,-1.844346
564,1.801758,0.003767,-1.845978
565,1.805642,0.003884,-1.839390
566,1.809561,0.003919,-1.810854
567,1.813412,0.003851,-1.767682
568,1.817251,0.003839,-1.738689
569,1.821088,0.003837,-1.740312
570,1.824883,0.003795,-1.744429
571,1.828957,0.004074,-1.793556
572,1.832790,0.003833,-1.787489
573,1.836870,0.004080,-1.797909
574,1.840909,0.004039,-1.799714
575,1.844948,0.004039,-1.783233
576,1.848959,0.004011,-1.767623
577,1.852746,0.003787,-1.716685
578,1.856903,0.004157,-1.605141
579,1.860797,0.003894,-1.531394
580,1.864580,0.003783,-1.496795
581,1.868542,0.003962,-1.396082
582,1.872416,0.003874,-1.349593
583,1.876325,0.003909,-1.398313
584,1.880338,0.004013,-1.494567
585,1.884168,0.003830,-1.502607
586,1.888022,0.003854,-1.574337
587,1.891812,0.003790,-1.560455
588,1.895739,0.003927,-1.511237
589,1.899676,0.003937,-1.420241
590,1.903622,0.003946,-1.266065
591,1.907490,0.003868,-1.232473
592,1.911232,0.003742,-1.192219
593,1.914895,0.003663,-1.137384
594,1.918674,0.003779,-1.120726
595,1.922556,0.003882,-1.082284
596,1.926543,0.003987,-0.996348
597,1.930408,0.003865,-0.948895
598,1.934311,0.003903,-0.811366
599,1.938114,0.003803,-0.777955
600,1.941975,0.003861,-0.709069
601,1.945988,0.004013,-0.659108
602,1.949930,0.003942,-0.631453
603,1.953811,0.003881,-0.617994
604,1.957602,0.003791,-0.563094
605,1.961705,0.004103,-0.468631
606,1.964821,0.003116,-0.424375
607,1.967669,0.002848,-0.342363
608,1.969940,0.002271,-0.274286
609,1.972204,0.002264,-0.246398
610,1.974205,0.002001,-0.216071
611,1.976025,0.001820,-0.212728
612,1.977892,0.001867,-0.130520
613,1.979711,0.001819,-0.101687
614,1.981384,0.001673,-0.079401
615,1.982811,0.001427,-0.032656
616,1.984417,0.001606,-0.020058
617,1.985949,0.001532,-0.021375
618,1.987502,0.001553,-0.029686
619,1.988906,0.001404,-0.033510
620,1.990320,0.001414,-0.046483
621,1.991860,0.001540,-0.069468
622,1.993407,0.001547,-0.081837
623,1.994932,0.001525,-0.103824
624,1.996391,0.001459,-0.090555
625,1.997808,0.001417,-0.090044
626,1.999228,0.001420,-0.079452
627,2.000594,0.001366,-0.064348
628,2.001989,0.001395,-0.068942
629,2.003423,0.001434,-0.055726
630,2.004999,0.001576,-0.024007
631,2.006502,0.001503,-0.025110
632,2.008065,0.001563,-0.032305
633,2.009751,0.001686,-0.033029
634,2.011503,0.001752,-0.040442
635,2.013239,0.001736,-0.028210
636,2.015119,0.001880,-0.033654
637,2.016799,0.001680,-0.034080
638,2.018429,0.001630,-0.050231
639,2.020038,0.001609,-0.051543
640,2.021564,0.001526,-0.058022
641,2.023141,0.001577,-0.053066
642,2.024803,0.001662,-0.059962
643,2.026617,0.001814,-0.050918
644,2.028338,0.001721,-0.055300
645,2.029920,0.001582,-0.052105
646,2.031569,0.001649,-0.021773
647,2.033182,0.001613,-0.007597
648,2.034930,0.001748,-0.024412
649,2.037238,0.002308,-0.018395
650,2.038958,0.001720,-0.022944
651,2.040629,0.001671,0.030111
652,2.042324,0.001695,0.001772
653,2.044110,0.001786,0.008615
654,2.046015,0.001905,0.010697
655,2.048155,0.002140,0.009805
656,2.049894,0.001739,-0.006374
657,2.051591,0.001697,-0.007656
658,2.053304,0.001713,0.018179
659,2.054873,0.001569,0.065290
660,2.056433,0.001560,0.077248
661,2.057921,0.001488,0.070728
662,2.059493,0.001572,0.064845
663,2.060941,0.001448,0.104943
664,2.062499,0.001558,0.090383
665,2.064015,0.001516,0.092594
666,2.065695,0.001680,0.062650
667,2.067717,0.002022,0.056348
668,2.069264,0.001547,0.052130
669,2.070809,0.001545,0.048459
670,2.072316,0.001507,0.048073
671,2.073896,0.001580,0.047701
672,2.075599,0.001703,0.037098
673,2.077459,0.001860,0.037861
674,2.079160,0.001701,0.055103
675,2.080744,0.001584,0.022870
676,2.082436,0.001692,0.018803
677,2.084087,0.001651,0.018272
678,2.085704,0.001617,0.045256
679,2.087369,0.001665,0.057888
680,2.088854,0.001485,0.030770
681,2.090332,0.001478,0.053709
682,2.091956,0.001624,0.082886
683,2.093473,0.001517,0.076739
684,2.095049,0.001576,0.056379
685,2.096775,0.001726,0.062096
686,2.098527,0.001752,0.102702
687,2.100074,0.001547,0.118202
688,2.101585,0.001511,0.129310
689,2.103094,0.001509,0.116061
690,2.104578,0.001484,0.091253
691,2.106183,0.001605,0.051181
692,2.107766,0.001583,0.043032
693,2.109368,0.001602,-0.004037
694,2.110867,0.001499,0.008739
695,2.112443,0.001576,-0.038591
696,2.114003,0.001560,-0.024068
697,2.115528,0.001525,-0.033350
698,2.117004,0.001476,-0.004117
699,2.118565,0.001561,0.088211
700,2.120190,0.001625,0.102396
701,2.121714,0.001524,0.072922
702,2.123250,0.001536,-0.015776
703,2.124736,0.001486,0.009198
704,2.126162,0.001426,0.016135
705,2.127757,0.001595,0.014447
706,2.129231,0.001474,-0.011278
707,2.130817,0.001586,0.004289
708,2.132338,0.001521,0.007292
709,2.133812,0.001474,0.058932
710,2.135346,0.001534,0.055967
711,2.136839,0.001493,0.074454
712,2.138371,0.001532,0.074630
713,2.139951,0.001580,0.072028
714,2.141341,0.001390,0.004795
715,2.142785,0.001444,-0.063659
716,2.144508,0.001723,-0.074463
717,2.146015,0.001507,-0.090828
718,2.147506,0.001491,-0.063151
719,2.149047,0.001541,-0.016873
720,2.150556,0.001509,-0.013879
721,2.153119,0.002563,-0.029557
722,2.154689,0.001570,-0.012555
723,2.156196,0.001507,0.020659
724,2.157797,0.001601,-0.118105
725,2.159388,0.001591,-0.136829
726,2.161108,0.001720,-0.158252
727,2.162760,0.001652,-0.171641
728,2.164284,0.001524,-0.170536
729,2.165886,0.001602,-0.151546
730,2.167419,0.001533,-0.145831
731,2.168945,0.001526,-0.141481
732,2.170608,0.001663,-0.114088
733,2.172229,0.001621,-0.111958
734,2.173900,0.001671,-0.109407
735,2.175445,0.001545,-0.101488
736,2.177000,0.001555,-0.089213
737,2.178558,0.001558,-0.058312
738,2.180067,0.001509,-0.062324
739,2.181515,0.001448,-0.084080
740,2.184084,0.002569,-0.083616
741,2.185730,0.001646,-0.104801
742,2.187276,0.001546,-0.138007
743,2.188800,0.001524,-0.150125
744,2.190353,0.001553,-0.151896
745,2.191857,0.001504,-0.143213
746,2.193408,0.001551,-0.142771
747,2.195002,0.001594,-0.191214
748,2.196493,0.001491,-0.204694
749,2.198023,0.001530,-0.201323
750,2.199646,0.001623,-0.204083
751,2.201211,0.001565,-0.202179
752,2.202856,0.001645,-0.216313
753,2.204403,0.001547,-0.220820
754,2.205976,0.001573,-0.240648
755,2.207518,0.001542,-0.232127
756,2.208974,0.001456,-0.196486
757,2.210494,0.001520,-0.213823
758,2.211996,0.001502,-0.211993
759,2.213505,0.001509,-0.233003
760,2.215042,0.001537,-0.264327
761,2.216711,0.001669,-0.278454
762,2.218295,0.001584,-0.306635
763,2.219740,0.001445,-0.322523
764,2.221221,0.001481,-0.350380
765,2.222764,0.001543,-0.356675
766,2.225207,0.002443,-0.399611
767,2.226879,0.001672,-0.364493
768,2.228365,0.001486,-0.393672
769,2.229891,0.001526,-0.395426
770,2.231714,0.001823,-0.401193
771,2.233237,0.001523,-0.389157
772,2.234850,0.001613,-0.356101
773,2.236437,0.001587,-0.378584
774,2.237973,0.001536,-0.366114
775,2.239472,0.001499,-0.357446
776,2.241048,0.001576,-0.333415
777,2.242515,0.001467,-0.252089
778,2.244096,0.001581,-0.248670
779,2.245662,0.001566,-0.256869
780,2.247213,0.001551,-0.245276
781,2.248722,0.001509,-0.203627
782,2.250240,0.001518,-0.176277
783,2.251746,0.001506,-0.179133
784,2.253252,0.001506,-0.189384
785,2.254944,0.001692,-0.182336
786,2.256473,0.001529,-0.157106
787,2.257943,0.001470,-0.158038
788,2.259464,0.001521,-0.109719
789,2.260929,0.001465,-0.107330
